source, target
Geo sprouts, sawi
Benih pedia, kubis
Geo sprouts, bayam
Kale dwarf curly, kubis
Cap panah merah, pakcoy
Kale dwarf curly, brokoli
Ninu farm, pakcoy
Daily farm, kangkung
Kale dwarf curly, sawi
